"单遮眼","hair over one eye one eye covered"
"姐姐","masterpiece, best quality,extremely detailed CG unity 8k wallpaper,((gorgeous red long skirt)),Red shawl, red long sleeve,((((dress has golden phoenix pattern on it)))),black hair,Red eyes,((gentle)),(((nice headpiece))),(Gorgeous crown),((detail ornaments)),(flowers),gentle smile,the tiny gold bracelet,beautiful eyeliner,beautiful detailed girl,an extremely delicate and beautiful girl,beautiful detailed eyes"
"性感的御姐","huge_breasts,straight-on,long wavy curly hair,blonde_hair,facing viewer,standing,hands in hair,big ass,jk face leg,lipstick,smile,naughty_face,less clothes"
"二次元女孩","loli,tail(best quality), ((masterpiece)), ((ultra-detailed)),(highres), original,(illustration), ((detailed light)),(an extremely delicate and beautiful),(colorful)watercolor (medium) ,(((straight-on))),(cyberpunk),(stage),((cute face)),succubus,((detailed school_uniform)),frills,(skirt1.2),fingerless gloves , (Microphone,singing song,happy,)demon hron,demon wings,thigh strap,(headset),(heart tattoo),delicate fingers,sharp_fingernails"
"河坝狂喜(CFG:6.5,成功率较低)","1girl,1pillow,solo,twintails,head on pillow,y,no limbs,no neck,no arms,closed eyes,{pillow on the ground},expose face,tatami;,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed"
"。","between legs,legs apart,miniskirt,small_breasts,pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school,medium_breasts,miniskirt,school_uniform,empty eyes,heart-shaped pupils,fucked silly,legs apart,lying on back,white_hair/blue_ey,messy_hair,loli,artbook,cum on face,cum on body,cum on hair,cum on feet,wet clothes,indoors,on bed,full body,plantar flexion,hidden hands,foot focus,2 feet,2 legs,2 arms,1 girl,soaked"
"制服兽耳娘","tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open legs,orgasm,long_hair,white_hair,red_eyes,looking afar,standing,arms crossed,slim legs,heterochromia,school uniform,ankle boots,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic},Short hair,Prussian blue eye"
"厉害的","game cg,oil painting (medium) ,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,depthoffield, cinematic angle, bloom effect, light particles,ray tracing,1girl, {an extreme and beautiful},young girl,{{{maid,bishoujo,very_long purple hair and red eyes ,beautiful detailed eyes,ahoge,}}}blunt_bangs,floating hair,Maid drly delicateess,maid headdress,facing viewer,sunlight,beautiful detailed sky,floating sakura"
"幻之魔女","1girl,black and purple hair,hag,magic,big tits,adult lady like woman"
"一位名叫夏的少女","((masterpiece)),(((best quality))),illustration,1 girl,female,black hair,detailed eyes,red pupil,hanfu,long black sleeves,frills,extremely detailed CG unity 8k wallpaper,Loong,dragon background, loong background,game cg"
"精靈姊妹觸手播種地獄","masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, 3 girls, anus, ass, bangs, blush, bukkake, clothes_pull, cum, cum_in_mouth, cum in pussy, cum on ass, cum_on_body, cum_on_breasts, cum on clothes, cum on hair, cum_on_stomach, cum_on_tongue, cumdrip, ejaculation, eyebrows visible through hair, facial, halo, heart, large_breasts, long_hair, navel, nipples, nude, open_mouth, pubic_tattoo, pussy, pussy_juice, suggestive_fluid, (((tentacle_sex))), (((massive amount of tentacles))), tongue, tongue_out, uncensored, white_wings, wings, (((small breasts))), cum on breasts, cum inside, gokkun, ejaculation, facial, handjob, oral/fellatio, hairjob, female_ejaculation, large_insertion, peeing, double_vaginal, double_penetration, sisters, elf, silver hair, breasts apart, blonde hair, platinum blonde hair"
"紫色头发高马尾斜刘海白色眼睛穿制服","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, nsfw, extra limbs,,untied bikini,masterpiece, best quality,horns,yanderesmall breasts,witch,fishnets,redhair,Demon,green eye,beauty mark,crotch tattoo,Black clot,legs over head"
"酷","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, nsfw, extra limbs"
"巨乳,渐变头发,水手服,黑丝jk,猫耳,二次元少女","gradient hair, sailor's uniform, jk face leg, cat ears, two-dimensional girlWhite hair, sailor's uniform, white stockings, cat ears, two-dimensional girl,huge_breasts"
"美女","looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),anime screencap,long hair,white_hair/blonde_eyes,heavy breathing,skirt_lift,breast hold,knees together feet apart,naughty_face,heart-shaped pupils,soaked,untied bikini,loli,strappy heels,unbuttoned clothes,tail insertion,from below,slim legs,leg up,breast hold,close-up,symmetrical,yellow_eyes,black hair,best quality,highres,petite,black string ​bikin​i,long_hair,solo,wet,medium_breasts,thigh strap,ahegao,torogao,lying on back,presenting armpit,open  legs,orgasm   ,full body,embarrassed,orgasm,ahoge,white_hair/blue_ey,multiple girls,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field"
"masterpiece,best quality","masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim))"
"壁纸","from below,slim legs,leg up,breast hold,close-up,symmetrical,yellow_eyes,black hair,best quality,highres,petite,black string ​bikin​i,long_hair,solo,wet,medium_breasts,thigh strap,ahegao,torogao,lying on back,presenting armpit,open  legs,orgasm   ,full body,embarrassed,orgasm,ahoge,white_hair/blue_ey,multiple girls,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,,white_hair,aqua_eyes,jk face leg,crossed legs,soaked,topless male,yaoi,shorts,cat_pose,kneeling,wet,open_clothes,black_collar,bandaid,shota,1boy,aqua_eyes,open_mouth,shy,endured_face,fangs,indoors,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,  {an extremely delicate and beautiful},,on bed,straight-on,large_breasts"
"忧郁的御姐","thighband pantyhose,serafuku,high heels,large_breasts,with lightsaber,gloom (expression) depressed,long_hair,white_hair,beautiful detailed eyes,mittens,angel,red eyes,pigeon-toed"
"护士","(masterpiece, best quality,highly detailed,),wavy_hair,bishoujo,grey_hair/grey_eyes,bent over,seductive smile ,nurse,nurse,slim waist,Bare thigh,white_thighhighs,bedroom,detail fingers,large_breasts,azur lane,(bare shoulders),((first-person view)),motion blur,sheath dress,outstretched hand,long_hair,blush"
"初音未来","((((miku)))),highly detailed,masterpiece,illustration,best quality,ultra-detailed,(((1girl))),full body,(((solo))),((flowering shrubs)),((starry detailed water)),((beautiful detailed starry sky)),beautiful detailed eyes,((bare shoulders)),(randomly distributed clouds),((frills)),anime face,(((messy_long_hair))),(((Depth of field))),((((summer_dress)))),((side - tie bikini bottom)),((white_thighhighs)),(((small breast))),female,((blush)),((soft smile)),(Bare shoulders),(Bare arms),((grove)),((((loli)))),((beautiful detailed water)),((against backlight at dusk)),(((feet out of frame))),(((wet))),cinematic lighting,ray-tracing"
"白丝汉服狼耳","Han Chinese Clothing,wolf ear fluff,long_hair,sitting on the ground,pigeon-toed,hugging own legs,white stocking,medium_breasts,umbrella"
"萝莉","nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),bikini"
"御","masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),less clothes,pair of horns,seductive smile ,looking at viewer,sitting on bed,female focus,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,long hair,long_hair,white_hair,red_eyes,shushing,legs apart,spread toes,presenting foot,naughty face,pointy ears,heart-shaped_pupils,upturned nipples,huge_breasts,cleavage"
"椒","ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,very_long_hair,red_hair,red eyes,seductive smile ,Cape hood"
"花嫁伪娘（成功率低；推荐竖图768*512分辨率）","masterpiece, best quality, {masterpiece}, best quality, {higher}, extremely detailed CG unity 8k wallpaper, ,NSFW, detailed dick between legs, glittering penis_juice, detailed face, beautiful wedding dress, blush, full body"
"超级涩lsp狂喜","penis on pussy, naked,school, 3d, no bra, no panties, penis, spread pussy"
"萝莉","((masterpiece)),(((best quality))),illustration,1 girl,female,black hair,detailed eyes,red pupil,hanfu,long black sleeves,frills,extremely detailed CG unity 8k wallpaper,Loong,dragon background, loong background,game cg"
"琪亚娜","long silver hair,grey eye and silver eye,Purple spherical earrings,black coat ,grey shirt,city,show chest,naked,nipples,love liquid,vulva,big chest,girl,sexual intercourse,sitting on a white motorcycle,black underwear"
"八重","Bare thigh,naked apron,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(long_hair),nube,paw gloves,knife and sword"
"精灵御姐_涩涩","((masterpiece)),(((high quality))),(extremely detailed CG unity 8k wallpaper),1girl,((((mature girl)))),highere,long white hair,bangs,medium breast and thigh,cumshots,silk stockings,naked,white pussy,creampie,after sex,shushing,torogao,album cover,((blush)),((open mouth)),((screaming)),(saliva),earrings,choker,((lace trim)),thighband pantyhose,high heels,beautiful detailed eyes,((gentle)),wife,beauty mark,(bare chest),(Nude pussy),(((perfect face))),(((perfect breasts))),(((perfect pussy))),elf,((No panties))"
"美女","dog_ears,white_hair,red_eyes,licking lips,skirt_lift,medium_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim))"
"a elf of blush,long_hair","a elf of blush,long_hair,saliva,tongue,by Toei Animations,overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,unbuttoned clothes,long hair,medium breast, completely nude,highly detailed,garter belt,lying on back,Perfect female body, solo, lace-trimmed bra,legs up,pubic tattoo"
"水月","foot focus,{best quality}, {{masterpiece}}, {higher}, original, extremely detailed CG unity 8k wallpaper, 1girl, {an extremely delicate and.png, white hairs, {gray eyes}, kneeling,snow,forest,beautiful, detailed eyes, cumulonimbus cloud, lighting, beautiful, detailed sky,white ​flower​y meadow,cute,stars,flower petals,{best quality}, 1boyasterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boy,Deep blue cap, holding transparent umbrella, Short blue hair,black tights,arknights,Off shoulder transparent raincoat,Pink eyes,comic,cute, shota, Black shorts,Black rain boots,Black belt,:>,Black gloves,Blue fingertip,{an extremely delicate and beautiful},,intense angle ,building,rain,neon lights,cumulonimbus,moon,skyscraper,white pantyhose"
"二战","battlefield,cinematic angle ,Loong, dragon background, loong background,blunt_bangs,ponytail,black_hair/black_eyes,looking at viewer,standing,disgust,military_uniform,thigh boots,gloves ,pocket watch pendant,medium_breasts,god rays,heart-shaped pupils"
"地雷妹","((frills)), (1 girl), (solo),hair two side up, 1girl, small breasts, ,black hair, long hair, + +, purple eyes, bangs, streaked hair, colored inner hair, heart ,ahoge, long sleeves, high-waist skirt, pettiskirt, neck ruff, buruma, boots, armband, ,dagger, bandages, bandaid, heart hair ornament, hair bow, handgun, backpack, ,yandere"
"涩","unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),soaked,[see-through:evening dress:0.3],girl on top,Bare thigh,huge_breasts,cleavage,no underwear,on stomach,space background,Bare thigh,blush,heart-shaped pupils,best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic}"
"红色短裙girl（标准负面）","Bare shoulders,Pale skin,Hair ribbon,hands on hips,big red eyes,looking at mirror,collarbone,Standing,(red_hair),Long hair,Bangs,Two side up,red dress,red sleeves,microskirt,vertical-striped legwear,over-kneehighs,high heel boots,necklace,Cinematic Lighting,wallpaper,style of genshin impact,border,artbook,cowboy shot,{a gril}"
"可爱的科学家","((((({best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boys, {an extremely delicate and beautiful},ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,shota,slender waist,long hair,  bare shoulders,heterochromia,(Delicate muscle lines),linea alba,chinese clothes, chinese style architecture,neat figure,Chinese style,))))),((lab coat)),((((high ponytail)))),((black hair)),((aqua_eyes)),(({best quality},Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG,beautiful detailed eyes,1girl,finely detail,cameltoe,five fingers,intricate detail,{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body} ,highly detailed,detailed clothes, detailed face, detailed eyes,detailed background,detailed skin,nipples,pussy,cityscape,lens flare )),(((modern,Europe)))"
"晨跑者","A girl with short black hair, glasses, sweat, Li Ning sports vest, super shorts, long legs, white socks, Li Ning white running shoes, sitting on the park bench, holding a Kaifeng mineral water bottle, smiling, black pupils, white skin, mid afternoon"
"黑头发的可爱小男孩","Squinting, squinting, black hair, cute, too black, short hair, boys sitting."
"凌乱","red eyeswrite hairsgirlsimleopen legs,cleavage,areola_slip,on bed,straight-on,full body,no_panties,medium_breasts,upturned nipples,unbuttoned clothes,lying on back,no shoes,legs apart,less clothes,ahegao,young girl,solo,Perfect female body,breast hold,from above,cum on face,cum on body,cum on hair,wet clothes"
"可莉","loli,red,Red Hat,Elves Ears,Lucky,young,act cute,Humans,Human form,Red pupils,Long hair in pale blonde,Short legs,White socks,Red Berets,bad,1080p,Brown backpack,Red round cap,peaked cap,Brown four leaf grass pattern,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes"
"男性暗夜精灵","{{Masterpiece}}, {best quality}, muscular male, purple skin, pointy ears, black hair, demon wings, blindfold, ponytail, large penis"
"老婆","ahoge,white_hair,red_eyes,evil smileevil grin,crossed_legs,hands in hair,feet up,smile,heart-shaped_pupils,chiffon dress,Long skirt,white stocking,no shoes,wide sleeves,small_breasts,petite,young girl,highres,indoors,overall view,on bed,from below,pleated skirt,heterochromia, ukiyo-e,poncho"
"JK女孩","crotchless panties ,lovely,lower body,comic book,Black blue hair,hime_cut,spread legs,school uniform,portrait,simple background,2girls,ahoge,white_hairblue_ey,cheek-to-cheek,own hands clasped,glowing eyes,backless outfit,miniskir s-2951698389,pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school"
"aether \(genshin impact\)","aether \(genshin impact\),1boy, male focus,blonde hair,single earring, beautiful golden eyes,navel,midriff,braid,ahoge,hair_between_eyes,brown gloves,boots, pants,white scarf,evil smile, ,((((({best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boys, {an extremely delicate and beautiful},ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,shota,slender waist,long hair,  bare shoulders,heterochromia,(Delicate muscle lines),linea alba,chinese clothes, chinese style architecture,neat figure,Chinese style,))))),((lab coat)),((((high ponytail)))),((black hair)),((aqua_eyes)),(({best quality},Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG,beautiful detailed eyes,1girl,finely detail,cameltoe,five fingers,intricate detail,{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body}"
"霜星（大概）","{{frostnova} (arknights)}, gray long hair,{gary and white long rabbit ears},in white, snowy ruins,hair over one eye,outstretched arm,white coat,dark gery jacket inside,black eyes,eyes visible through hair,tiny smell,old long white clothes,arknights,red ribbon,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},detailed background,beautiful detailed eyes,bright pupils,{{full body}}, ,looking at viewer,detailed clothes, Epic feeling"
"图书馆","library,realistic,ahoge,twintails,white_hair/blue_eyes,tail between legs,skirt_lift"
"实验1","{{frostnova} (arknights)}, gray long hair,{gary and white long rabbit ears},in white, snowy ruins,hair over one eye,outstretched arm,white coat,dark gery jacket inside,black eyes,eyes visible through hair,tiny smell,old long white clothes,arknights,red ribbon,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},detailed background,beautiful detailed eyes,bright pupils,{{full body}}, ,looking at viewer,detailed clothes, Epic feeling"
"蘿莉","full body,starry sky,clusters of stars,2girls,sitting on big earth,green_hair,very_long_hair,blue_eyes,smile,breast hold,crossed legs,blue convenience store uniforms,pants,black stocking,small_breasts,  blue_hair/green_eyes,looking at viewer,lying on earth,arms crossed,legs apart,light smile,green lab coat,leggings,white stocking,barefoot,medium_breasts,seed:563466"
"开心的萝莉","suspender skirt,(straight-on),((ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,)),(full body),(lens 135mm,f1.8),(floating white feathers),(bathing),(extremely detailed CG unity 8k wallpaper),(photo (medium) ),(twintails),(aqua_eyes),[pink hair],(seductive smile ),(girl on top),(breast hold),(slim legs),(blush),(aquagradient eyes),((soaked)),(untied bikini),(thigh strap),(large_breasts),(masterpiece,best quality,album cover,mature girl,medium breasts,full body,red sofa,pillow,long messy and brown hair,(brown eyes with long eyelashes),(blush), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),(pantyhose),shoes),((((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes), (detailed light),ultrahigh resolution,shy girl,（b"
"战士","straight-on,selfiemirror,high saturation,battlefield,building_ruins,comic,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},knife and sword,mature female,asymmetrical bangs,hair spread out,white hair,red_eyes,horn,looking away,fighting_stance,detail fingers,wince,beautiful golden eyes,military uniform,trench_coat,loli,platform boots,fingerless gloves,glaive,masterpiece,ray tracing"
"三大超级赛亚人（特兰克斯 卡卡罗特 贝吉塔）","masterpiece, best quality,highly detailed,top-down bottom-up,long_hair,black_hair/black_eyes,tongue out,no_bra,thong leotard,highres,mature female,from above,full body,dynamic angle ,starry sky,ruins,extremely detailed CG unity 8k wallpaper,photo (medium) ,solo,knife and sword,long_hair,black hair,looking afar,standing,arm up,serious,eyes visible through hair,collared shirt,pants,pantyhose,leather shoes,elbow_gloves,hair flower,flat_chest,cinematiclighting,Squinting, squinting, black hair, cute, too black, short hair, boys sitting.,red eyeswrite hairsgirlsimleopen legs,cleavage,areola_slip,on bed,straight-on,full body,no_panties,medium_breasts,upturned nipples,unbuttoned clothes,lying on back,no shoes,legs apart,less clothes,ahegao,young girl,solo,Perfect female body,breast hold,from above,cum on face,cum on body,cum on hair,wet clothes,,unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the be"
"八重神子","masterpiece, best quality, miko, long hair, pink hair, purple eyes, large breasts, white thighhighs, tail"
"创世纪","nsfw,masterpiece,pussy,vaginal,sex,1boy,1girl,extremely white long hair,penis,girl_on_top,straddling,highly detailed,{[Kasumizawa Miyu]},rape ,spread_legs, shiny, black pantyhose, armpits,shy, open mouth, sweat, steam, ballet suit"
"一个一个色图","night, artbook, female pervert, Side ponytail, very long hair, black hair, excited, blue eyes, breasts, medium breasts, breasts out, no bra, no_panties, all_fours, tentacle"
"我的自设","green_hair,green_hair/green_eyes,looking at viewer,outstretched arm,light smile,sweater dress,striped_thighhighs,uwabaki,medium_breasts"
"白猫少年","straight-on,first-person view,upper body,blurry background,white background,anime screencap,shota,teenage,hair over one eye,ahoge,closed mouth,facing viewer,kemomimi,clear face,expressionless,slit pupils,white_hair,red_eyes,hoodie,scarf,Samurai Sword,(((ponytail))),extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers, extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers"
"奇奇怪怪","pov crotch,cinematic angle ,indoors,anime screencap,meticulous painting,maid,wolf ear fluff,ahoge,white_hair,red_eyes,heavy breathing,kemomimi,top-down bottom-up,double peace hand,legs up,legs apart,orgasm,fucked silly,((blush)),heart-shaped_pupils,untied bikini,no_panties,loli,large_breasts,tentacle_sex,{NSFW}, shibari, arms behind back, gag,sex cum,extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers, extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers,upturned nipples,neck ribbon,cum on face,cum on body,cum on hair,wet clothes,handcuffs,shackles,choker,thigh strap"
"海滩上的石头,贝壳","shells on the bench,stones on the bench"
"画面高质量","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful}"
"冷酷御姐","wolf ear fluff,white_hair,red_eyes,crossed_legs,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim))"
"蓝绿白","{game_CG},hair scrunchie,{{{tachi-e}}},{{{{spread pussy}}}},{{{{pussy}}}},{{{beautful water}}},{{{{{full body}}}}},{{{{{{fainted}}}},{{{spread legs}}},{{{{fainting}}}},{{female masturbation}},{{{no clothes}}},{{{after sex}}},{{{{{penis on breasts}}}}},{{{wet clothes}}},{{breast curtain}},flower ribbon, bent_over,{wide_hips} ,{{{{liquid hair}}}},brushing hair , hair over shoulder, ahegao,{{big breasts}},Japanese,constricted pupils,no bra, antenna hair, hair_flower,no_panties,masterpiece,best quality,kawaii,{{no skirt}},official art,{{implied pregnancy}}, {{{pregnant}}},extremely detailed CG unity 8k wallpaper,heart-shaped pupiils,best quality, masterpiece, pink nipples, mind_control, {{beautiful detailed girl}},{colored shadow},  seductive smile, naughty_face, green eyes, {{{{nudist}}}},{{topless}},{{bare hips}}, {{hip vent}}, petite, {{loli}}, {{{hypnoient eyes}}}, {{gradient-aqua-white hair}}, {{profanity}}, {{{{hypnodressing}}}}, pornography,asymmetrical bangs, {floppy ears},pool"
"少女","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, nsfw, extra limbs,,untied bikini,masterpiece, best quality,horns,yanderesmall breasts,witch,fishnets,redhair,Demon,green eye,beauty mark,crotch tattoo,Black clot,legs over head"
"白丝美少女","((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), (solo), dynamic angle, big top sleeves, floating, beautiful detailed sky, on beautiful detailed water, beautiful detailed eyes, overexposure, (fist), expressionless, side blunt bangs, hairs between eyes, ribbons, bowties, buttons, bare shoulders, (((small breast))), detailed wet clothes, blank stare, pleated skirt, flowers, huge_nipple"
"阿波","looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),full body,simple background,bedroom,tachie,azur lane,short_hair,pink hair,pink_eyes,eye contact,open mouth,smirk,[skirt_lift],Skirt lift,[[skirt_lift]],standing,skindentation	,tail between legs,naughty face,heart-shaped pupils,school uniform,pleated skirt,medium_breasts,striped panties"
"洛天依","Luo_tianyi,Green eyes,(masterpiece),(best quality), highres, game_cg,Grey hair,solo"
"老婆","masterpiece best quality girl nsfw gradient black long hair gradient dark eyes green eyesmedium breasts  green hair double penetration cum_on_breasts angel wings thighhighs orgasm rain steam"
"以蜘蛛子为目标的预设","((((((white hood))))),((white_off-shoulder miniskirt dress)),1girl,white hair,Absurdly long hair,braided ponytail,detail hair,beautiful detailed eyes,gradient eyes,detail face,Skin made of water,Pale skin,large_breasts,(((detail fingers))),full body,ray tracing,(best quality),(masterpiece),(highres),extremely detailed 8K wallpaper,(an extremely delicate and beautiful),colorful,intricate detail,artbook,unbuttoned clothes,azur lane"
"晨跑","A girl with short black hair, glasses, sweat, Li Ning sports vest, super shorts, long legs, white socks, Li Ning white running shoes, sitting on the park bench, holding a Kaifeng mineral water bottle, smiling, black pupils, white skin, mid afternoo"
"裸体少女","unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),soaked,[see-through:evening dress:0.3],girl on top"
"吴国 下雨 内涵","highly detailed,masterpiece,ultra-detailed,illustration,incredibly_absurdres,white eyebrows,white colored eyelashes,cute face,fox_ears,white hair,gorgeouslowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing arms,long neck,Humpbacked"
"御姐","tentacle sex,forced orgasm,no panties,clitoris,Leakage of urine,breasts out,large breasts,puffy nipples,beautiful girl,white long hair,solo,master piece,high quality,beautiful detailed face, slim legs,open legs,semen flow out of pussy"
